Page,Page Description,Page Structure,Page Content,Main link,Labels,SEO title,SEO Description,SEO slug,Design,Development,QA,Content managment,UI Kit,Domain purchase,Webflow subscription 1/y
"1.0 登入頁","MS SSO 登入","","","","","","","","0","0","0","0","","",""
"1.2 403","無存取權限頁","","","","","","","","0","0","0","0","","",""
"1.3 404","找不到頁面","","","","","","","","0","0","0","0","","",""
"2.0 產品管理","","","","","No Page","","","","0","0","0","0","","",""
"2.1 產品列表頁","產品列表表格、搜尋、篩選、發佈狀態、CSV Import/Export","","","","","","","","0","0","0","0","","",""
"2.1.1 產品編輯頁","基本資訊、圖片/Datasheet、SKU/Spec、訂購資訊、語系內容一鍵同步","","","","","","","","0","0","0","0","","",""
"2.2 產品分類列表頁","表格、搜尋、發佈狀態、手動排序","","","","","","","","0","0","0","0","","",""
"2.2.1 產品分類編輯頁","類型設定（大分類/次分類）","","","","","","","","0","0","0","0","","",""
"2.3 產品篩選器列表頁","資料夾結構、搜尋、啟停用、手動排序","","","","","","","","0","0","0","0","","",""
"2.3.1 產品篩選器編輯頁","所屬次分類、啟停用、各語系篩選器名稱/選項、語系同步","","","","","","","","0","0","0","0","","",""
"2.4 產品標籤列表頁","表格、搜尋、發佈狀態、手動排序","","","","","","","","0","0","0","0","","",""
"2.4.1 產品標籤編輯頁","各語系Tag名稱、文字內容、圖片素材、Rich Text、語系同步","","","","","","","","0","0","0","0","","",""
"2.5 產品規格列表頁","表格、搜尋、啟停用、CSV Import/Export、手動排序","","","","","","","","0","0","0","0","","",""
"2.5.1 產品規格編輯頁","類型設定（規格群組/規格）、啟停用、各語系規格名稱","","","","","","","","0","0","0","0","","",""
"3.0 檔案管理","","","","","No Page","","","","0","0","0","0","","",""
"3.1 檔案列表頁","表格、搜尋、篩選/排序、啟停用、CSV Import/Export","","","","","","","","0","0","0","0","","",""
"3.1.1 檔案編輯頁","分類、上傳/外部連結、啟停用、名稱描述、關聯產品","","","","","","","","0","0","0","0","","",""
"3.2 檔案分類列表頁","資料夾結構、搜尋、啟停用、手動排序","","","","","","","","0","0","0","0","","",""
"3.2.1 檔案分類編輯頁","類型設定（大/次分類）、各語系分類名稱","","","","","","","","0","0","0","0","","",""
"4.0 帳號管理","","","","","No Page","","","","0","0","0","0","","",""
"4.1 團隊成員列表頁","表格、帳號狀態呈現","","","","","","","","0","0","0","0","","",""
"4.1.1 團隊成員編輯頁","狀態設定","","","","","","","","0","0","0","0","","",""
"4.2 角色權限列表頁","表格、啟停用狀態","","","","","","","","0","0","0","0","","",""
"4.2.1 角色權限編輯頁","啟停用、矩陣權限表格（Row:頁面, Col:Read/Write）","","","","","","","","0","0","0","0","","",""
"5.0 系統管理","","","","","No Page","","","","0","0","0","0","","",""
"5.1 語系列表頁","表格、啟停用狀態","","","","","","","","0","0","0","0","","",""
"5.1.1 語系編輯頁","HubSpot Language Slug、啟停用狀態設定","","","","","","","","0","0","0","0","","",""
"5.2 Log 列表頁","Sync Log、Error Log、Audit Log","","","","","","","","0","0","0","0","","",""
"Subtotal","","","","","","","","","0","0","0","0","0","0","0"
"Taxes (5%)","","","","","","","","","0","0","0","0","0","0","0"
"Total","","","","","","","","","","","","","","","0"
